learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber
1,4,0,0.238,0.877,0.163,0.407562
1,4,1,0.238,0.877,0.163,0.903473
1,4,2,0.238,0.877,0.163,0.228271
1,4,2,0.238,0.877,0.163,0.493134
1,4,2,0.238,0.877,0.163,0.55304
1,4,3,0.238,0.877,0.163,0.213104
1,4,3,0.238,0.877,0.163,0.959045
2,8,0,0.201,0.881,0.16,0.84079
2,8,1,0.201,0.881,0.16,0.885193
2,8,2,0.201,0.881,0.16,0.176208
2,8,2,0.201,0.881,0.16,0.727875
2,8,2,0.201,0.881,0.16,0.061981
2,8,2,0.201,0.881,0.16,0.475067
2,8,3,0.201,0.881,0.16,0.437347
2,8,4,0.201,0.881,0.16,0.943634
2,8,5,0.201,0.881,0.16,0.173645
2,8,5,0.201,0.881,0.16,0.415192
2,8,5,0.201,0.881,0.16,0.89389
2,8,6,0.201,0.881,0.16,0.926422
2,8,7,0.201,0.881,0.16,0.453522
3,10,0,0.215,0.875,0.15,0.674133
3,10,1,0.215,0.875,0.15,0.916382
3,10,2,0.215,0.875,0.15,0.689606
3,10,3,0.215,0.875,0.15,0.505463
3,10,4,0.215,0.875,0.15,0.804657
3,10,5,0.215,0.875,0.15,0.483398
3,10,6,0.215,0.875,0.15,0.695068
3,10,7,0.215,0.875,0.15,0.118805
3,10,7,0.215,0.875,0.15,0.832123
3,10,7,0.215,0.875,0.15,0.404694
3,10,8,0.215,0.875,0.15,0.68335
3,10,9,0.215,0.875,0.15,0.416504
4,13,0,0.229,0.865,0.154,0.969177
4,13,1,0.229,0.865,0.154,0.939423
4,13,2,0.229,0.865,0.154,0.589417
4,13,3,0.229,0.865,0.154,0.51767
4,13,4,0.229,0.865,0.154,0.454834
4,13,5,0.229,0.865,0.154,0.298401
4,13,6,0.229,0.865,0.154,0.588715
4,13,7,0.229,0.865,0.154,0.431763
4,13,8,0.229,0.865,0.154,0.886444
4,13,9,0.229,0.865,0.154,0.623932
4,13,10,0.229,0.865,0.154,0.036926
4,13,10,0.229,0.865,0.154,0.963043
4,13,11,0.229,0.865,0.154,0.44577
4,13,12,0.229,0.865,0.154,0.496155
5,9,0,0.22,0.871,0.172,0.021759
5,9,0,0.22,0.871,0.172,0.996552
5,9,1,0.22,0.871,0.172,0.908844
5,9,2,0.22,0.871,0.172,0.411835
5,9,3,0.22,0.871,0.172,0.244934
5,9,4,0.22,0.871,0.172,0.359894
5,9,5,0.22,0.871,0.172,0.037476
5,9,5,0.22,0.871,0.172,0.842743
5,9,5,0.22,0.871,0.172,0.39859
5,9,6,0.22,0.871,0.172,0.564789
5,9,7,0.22,0.871,0.172,0.788422
5,9,8,0.22,0.871,0.172,0.018555
5,9,8,0.22,0.871,0.172,0.485931
5,9,8,0.22,0.871,0.172,0.495422
6,19,0,0.22,0.863,0.181,0.39566
6,19,1,0.22,0.863,0.181,0.0383
6,19,1,0.22,0.863,0.181,0.003571
6,19,1,0.22,0.863,0.181,0.227875
6,19,2,0.22,0.863,0.181,0.179626
6,19,2,0.22,0.863,0.181,0.795227
6,19,2,0.22,0.863,0.181,0.913177
6,19,3,0.22,0.863,0.181,0.009155
6,19,3,0.22,0.863,0.181,0.146942
6,19,3,0.22,0.863,0.181,0.863708
6,19,4,0.22,0.863,0.181,0.177368
6,19,4,0.22,0.863,0.181,0.42749
6,19,4,0.22,0.863,0.181,0.517242
6,19,5,0.22,0.863,0.181,0.714447
6,19,6,0.22,0.863,0.181,0.202118
6,19,6,0.22,0.863,0.181,0.937683
6,19,7,0.22,0.863,0.181,0.642395
6,19,8,0.22,0.863,0.181,0.049622
6,19,8,0.22,0.863,0.181,0.261292
6,19,8,0.22,0.863,0.181,0.063538
6,19,8,0.22,0.863,0.181,0.595795
6,19,9,0.22,0.863,0.181,0.834045
6,19,10,0.22,0.863,0.181,0.315002
6,19,11,0.22,0.863,0.181,0.049042
6,19,11,0.22,0.863,0.181,0.464813
6,19,11,0.22,0.863,0.181,0.96521
6,19,12,0.22,0.863,0.181,0.706482
6,19,13,0.22,0.863,0.181,0.593048
6,19,14,0.22,0.863,0.181,0.577576
6,19,15,0.22,0.863,0.181,0.124573
6,19,15,0.22,0.863,0.181,0.252991
6,19,15,0.22,0.863,0.181,0.815063
6,19,16,0.22,0.863,0.181,0.630554
6,19,17,0.22,0.863,0.181,0.180511
6,19,17,0.22,0.863,0.181,0.915955
6,19,18,0.22,0.863,0.181,0.194
6,19,18,0.22,0.863,0.181,0.448425
6,19,18,0.22,0.863,0.181,0.397858
7,8,0,0.209,0.866,0.153,0.447968
7,8,1,0.209,0.866,0.153,0.670135
7,8,2,0.209,0.866,0.153,0.240692
7,8,3,0.209,0.866,0.153,0.67865
7,8,4,0.209,0.866,0.153,0.611816
7,8,5,0.209,0.866,0.153,0.576355
7,8,6,0.209,0.866,0.153,0.028259
7,8,6,0.209,0.866,0.153,0.829315
7,8,6,0.209,0.866,0.153,0.814819
7,8,7,0.209,0.866,0.153,0.457886
8,10,0,0.223,0.887,0.165,0.667542
8,10,1,0.223,0.887,0.165,0.980133
8,10,2,0.223,0.887,0.165,0.467773
8,10,3,0.223,0.887,0.165,0.004211
8,10,3,0.223,0.887,0.165,0.708618
8,10,3,0.223,0.887,0.165,0.556183
8,10,4,0.223,0.887,0.165,0.392181
8,10,5,0.223,0.887,0.165,0.759613
8,10,6,0.223,0.887,0.165,0.108795
8,10,6,0.223,0.887,0.165,0.38382
8,10,6,0.223,0.887,0.165,0.784729
8,10,7,0.223,0.887,0.165,0.752075
8,10,8,0.223,0.887,0.165,0.053558
8,10,8,0.223,0.887,0.165,0.968689
8,10,9,0.223,0.887,0.165,0.789124
9,13,0,0.199,0.871,0.156,0.070343
9,13,0,0.199,0.871,0.156,0.639008
9,13,0,0.199,0.871,0.156,0.189758
9,13,1,0.199,0.871,0.156,0.129395
9,13,1,0.199,0.871,0.156,0.870361
9,13,1,0.199,0.871,0.156,0.562286
9,13,2,0.199,0.871,0.156,0.488922
9,13,3,0.199,0.871,0.156,0.321045
9,13,4,0.199,0.871,0.156,0.205017
9,13,5,0.199,0.871,0.156,0.069458
9,13,5,0.199,0.871,0.156,0.812347
9,13,5,0.199,0.871,0.156,0.910095
9,13,6,0.199,0.871,0.156,0.74942
9,13,7,0.199,0.871,0.156,0.432953
9,13,8,0.199,0.871,0.156,0.266571
9,13,9,0.199,0.871,0.156,0.679871
9,13,10,0.199,0.871,0.156,0.38446
9,13,11,0.199,0.871,0.156,0.812225
9,13,12,0.199,0.871,0.156,0.962921
10,7,0,0.2,0.876,0.158,0.392548
10,7,1,0.2,0.876,0.158,0.856506
10,7,2,0.2,0.876,0.158,0.817261
10,7,3,0.2,0.876,0.158,0.901337
10,7,4,0.2,0.876,0.158,0.578003
10,7,5,0.2,0.876,0.158,0.049377
10,7,5,0.2,0.876,0.158,0.664886
10,7,5,0.2,0.876,0.158,0.856415
10,7,6,0.2,0.876,0.158,0.830597
11,2,0,0.194,0.867,0.189,0.069397
11,2,0,0.194,0.867,0.189,0.884644
11,2,1,0.194,0.867,0.189,0.787109
12,19,0,0.221,0.877,0.142,0.505219
12,19,1,0.221,0.877,0.142,0.262177
12,19,2,0.221,0.877,0.142,0.295166
12,19,3,0.221,0.877,0.142,0.689636
12,19,4,0.221,0.877,0.142,0.061615
12,19,4,0.221,0.877,0.142,0.003906
12,19,4,0.221,0.877,0.142,0.03833
12,19,4,0.221,0.877,0.142,0.250092
12,19,5,0.221,0.877,0.142,0.998596
12,19,6,0.221,0.877,0.142,0.040161
12,19,6,0.221,0.877,0.142,0.062012
12,19,6,0.221,0.877,0.142,0.952026
12,19,7,0.221,0.877,0.142,0.425385
12,19,8,0.221,0.877,0.142,0.755157
12,19,9,0.221,0.877,0.142,0.89325
12,19,10,0.221,0.877,0.142,0.320526
12,19,11,0.221,0.877,0.142,0.425049
12,19,12,0.221,0.877,0.142,0.549316
12,19,13,0.221,0.877,0.142,0.772949
12,19,14,0.221,0.877,0.142,0.19577
12,19,14,0.221,0.877,0.142,0.946075
12,19,15,0.221,0.877,0.142,0.368744
12,19,16,0.221,0.877,0.142,0.532776
12,19,17,0.221,0.877,0.142,0.423645
