learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber,nodeRecommendationID
1,4,2,0.238,0.877,0.163,0.493134,0
1,4,3,0.238,0.877,0.163,0.959045,1
2,8,2,0.201,0.881,0.16,0.727875,0
2,8,5,0.201,0.881,0.16,0.415192,1
3,10,7,0.215,0.875,0.15,0.832123,0
4,13,10,0.229,0.865,0.154,0.963043,0
5,9,0,0.22,0.871,0.172,0.996552,0
5,9,5,0.22,0.871,0.172,0.842743,1
5,9,8,0.22,0.871,0.172,0.485931,2
6,19,1,0.22,0.863,0.181,0.003571,0
6,19,2,0.22,0.863,0.181,0.795227,1
6,19,3,0.22,0.863,0.181,0.146942,2
6,19,4,0.22,0.863,0.181,0.42749,3
6,19,6,0.22,0.863,0.181,0.937683,4
6,19,8,0.22,0.863,0.181,0.261292,5
6,19,11,0.22,0.863,0.181,0.464813,6
6,19,15,0.22,0.863,0.181,0.252991,7
6,19,17,0.22,0.863,0.181,0.915955,8
6,19,18,0.22,0.863,0.181,0.448425,9
7,8,6,0.209,0.866,0.153,0.829315,0
8,10,3,0.223,0.887,0.165,0.708618,0
8,10,6,0.223,0.887,0.165,0.38382,1
8,10,8,0.223,0.887,0.165,0.968689,2
9,13,0,0.199,0.871,0.156,0.639008,0
9,13,1,0.199,0.871,0.156,0.870361,1
9,13,5,0.199,0.871,0.156,0.812347,2
10,7,5,0.2,0.876,0.158,0.664886,0
11,2,0,0.194,0.867,0.189,0.884644,0
12,19,4,0.221,0.877,0.142,0.003906,0
12,19,6,0.221,0.877,0.142,0.062012,33
12,19,14,0.221,0.877,0.142,0.946075,47
13,8,1,0.232,0.87,0.181,0.198517,33
13,8,3,0.232,0.87,0.181,0.923462,47
13,8,5,0.232,0.87,0.181,0.882721,12
14,7,6,0.219,0.871,0.161,0.709625,33
15,15,0,0.218,0.879,0.17,0.539368,33
15,15,13,0.218,0.879,0.17,0.023254,47
16,8,0,0.201,0.854,0.167,0.138428,33
16,8,6,0.201,0.854,0.167,0.972015,47
16,8,7,0.201,0.854,0.167,0.86203,12
17,16,2,0.22,0.885,0.159,0.911591,33
17,16,3,0.22,0.885,0.159,0.39975,47
17,16,4,0.22,0.885,0.159,0.751892,46
17,16,6,0.22,0.885,0.159,0.502563,48
17,16,9,0.22,0.885,0.159,0.901337,17
18,10,3,0.213,0.871,0.173,0.005524,46
18,10,5,0.213,0.871,0.173,0.826111,48
18,10,6,0.213,0.871,0.173,0.16214,17
18,10,8,0.213,0.871,0.173,0.791412,30
19,5,4,0.203,0.874,0.147,0.218079,46
20,16,3,0.203,0.875,0.159,0.860321,46
20,16,14,0.203,0.875,0.159,0.322388,48
21,6,1,0.224,0.868,0.161,0.638824,46
21,6,3,0.224,0.868,0.161,0.110046,48
21,6,4,0.224,0.868,0.161,0.024689,17
21,6,5,0.224,0.868,0.161,0.934052,30
22,11,5,0.213,0.886,0.179,0.932281,46
22,11,9,0.213,0.886,0.179,0.742798,48
24,12,3,0.204,0.882,0.181,0.037415,46
24,12,6,0.204,0.882,0.181,0.270966,48
24,12,10,0.204,0.882,0.181,0.962189,17
25,15,5,0.222,0.878,0.162,0.09082,46
25,15,7,0.222,0.878,0.162,0.913116,48
25,15,8,0.222,0.878,0.162,0.394745,17
25,15,10,0.222,0.878,0.162,0.539856,30
25,15,13,0.222,0.878,0.162,0.925201,49
26,20,4,0.21,0.877,0.164,0.240936,46
26,20,9,0.21,0.877,0.164,0.383423,48
27,10,5,0.197,0.884,0.171,0.124207,46
28,20,0,0.222,0.858,0.156,0.647278,46
28,20,3,0.222,0.858,0.156,0.930328,48
28,20,5,0.222,0.858,0.156,0.203552,17
28,20,15,0.222,0.858,0.156,0.494904,24
28,20,16,0.222,0.858,0.156,0.432495,47
28,20,17,0.222,0.858,0.156,0.116638,49
28,20,19,0.222,0.858,0.156,0.43924,41
29,20,4,0.225,0.848,0.187,0.072998,24
29,20,5,0.225,0.848,0.187,0.954407,47
29,20,11,0.225,0.848,0.187,0.506775,49
29,20,12,0.225,0.848,0.187,0.360535,41
29,20,14,0.225,0.848,0.187,0.269684,20
30,13,2,0.214,0.883,0.167,0.985535,41
30,13,6,0.214,0.883,0.167,0.177155,47
30,13,9,0.214,0.883,0.167,0.975494,20
31,10,1,0.21,0.878,0.158,0.649353,41
31,10,3,0.21,0.878,0.158,0.933838,47
31,10,5,0.21,0.878,0.158,0.559692,20
31,10,9,0.21,0.878,0.158,0.010498,40
32,15,7,0.224,0.892,0.171,0.317108,41
32,15,11,0.224,0.892,0.171,0.287201,17
32,15,13,0.224,0.892,0.171,0.524719,7
32,15,14,0.224,0.892,0.171,0.852478,43
33,22,0,0.215,0.885,0.181,0.252747,17
33,22,4,0.215,0.885,0.181,0.987152,7
33,22,5,0.215,0.885,0.181,0.484589,43
33,22,12,0.215,0.885,0.181,0.212433,14
33,22,17,0.215,0.885,0.181,0.580719,4
34,3,0,0.204,0.891,0.151,0.64209,14
35,23,1,0.211,0.883,0.171,0.310272,14
35,23,5,0.211,0.883,0.171,0.088318,17
35,23,13,0.211,0.883,0.171,0.286346,47
35,23,15,0.211,0.883,0.171,0.782806,24
35,23,19,0.211,0.883,0.171,0.416382,20
36,19,1,0.226,0.864,0.15,0.95697,24
36,19,6,0.226,0.864,0.15,0.996582,45
36,19,18,0.226,0.864,0.15,0.757507,15
37,9,2,0.204,0.862,0.175,0.577332,24
38,27,10,0.186,0.87,0.168,0.193146,24
38,27,13,0.186,0.87,0.168,0.672424,45
38,27,16,0.186,0.87,0.168,0.896576,47
38,27,25,0.186,0.87,0.168,0.929871,16
39,5,1,0.233,0.878,0.159,0.768097,45
40,16,1,0.217,0.889,0.162,0.957733,15
40,16,2,0.217,0.889,0.162,0.659943,38
40,16,10,0.217,0.889,0.162,0.362946,29
41,17,7,0.222,0.866,0.147,0.172333,15
41,17,10,0.222,0.866,0.147,0.744965,38
