learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),rr,fr,sr,rating,ratingCode
1,4,0,0.238,0.877,0.163,0.793579102,N/A,N/A,N/A,No Recommendation Request
1,4,1,0.238,0.877,0.163,0.524353027,N/A,N/A,N/A,No Recommendation Request
1,4,2,0.238,0.877,0.163,0.059997559,0.866485596,0.652801514,N/A,No Rating Submission
1,4,3,0.238,0.877,0.163,0.836425781,N/A,N/A,N/A,No Recommendation Request
2,8,0,0.201,0.881,0.16,0.588806152,N/A,N/A,N/A,No Recommendation Request
2,8,1,0.201,0.881,0.16,0.767120361,N/A,N/A,N/A,No Recommendation Request
2,8,2,0.201,0.881,0.16,0.129302979,0.323638916,0.350494385,N/A,No Rating Submission
2,8,3,0.201,0.881,0.16,0.378448486,N/A,N/A,N/A,No Recommendation Request
2,8,4,0.201,0.881,0.16,0.928741455,N/A,N/A,N/A,No Recommendation Request
2,8,5,0.201,0.881,0.16,0.42791748,N/A,N/A,N/A,No Recommendation Request
2,8,6,0.201,0.881,0.16,0.955627441,N/A,N/A,N/A,No Recommendation Request
2,8,7,0.201,0.881,0.16,0.634765625,N/A,N/A,N/A,No Recommendation Request
3,10,0,0.215,0.875,0.15,0.17477417,0.639007568,0.899200439,N/A,No Rating Submission
3,10,1,0.215,0.875,0.15,0.246826172,N/A,N/A,N/A,No Recommendation Request
3,10,2,0.215,0.875,0.15,0.296539307,N/A,N/A,N/A,No Recommendation Request
3,10,3,0.215,0.875,0.15,0.681640625,N/A,N/A,N/A,No Recommendation Request
3,10,4,0.215,0.875,0.15,0.022857666,0.100006104,0.741577148,N/A,No Rating Submission
3,10,5,0.215,0.875,0.15,0.92388916,N/A,N/A,N/A,No Recommendation Request
3,10,6,0.215,0.875,0.15,0.9246521,N/A,N/A,N/A,No Recommendation Request
3,10,7,0.215,0.875,0.15,0.113220215,0.372924805,0.573638916,N/A,No Rating Submission
3,10,8,0.215,0.875,0.15,0.511352539,N/A,N/A,N/A,No Recommendation Request
3,10,9,0.215,0.875,0.15,0.098846436,0.936950684,N/A,N/A,No Recommendation Follow
4,13,0,0.229,0.865,0.154,0.81338501,N/A,N/A,N/A,No Recommendation Request
4,13,1,0.229,0.865,0.154,0.329223633,N/A,N/A,N/A,No Recommendation Request
4,13,2,0.229,0.865,0.154,0.347564697,N/A,N/A,N/A,No Recommendation Request
4,13,3,0.229,0.865,0.154,0.072265625,0.229736328,0.464385986,N/A,No Rating Submission
4,13,4,0.229,0.865,0.154,0.157440186,0.48828125,0.696746826,N/A,No Rating Submission
4,13,5,0.229,0.865,0.154,0.215270996,0.417785645,0.778961182,N/A,No Rating Submission
4,13,6,0.229,0.865,0.154,0.607421875,N/A,N/A,N/A,No Recommendation Request
4,13,7,0.229,0.865,0.154,0.883239746,N/A,N/A,N/A,No Recommendation Request
4,13,8,0.229,0.865,0.154,0.699890137,N/A,N/A,N/A,No Recommendation Request
4,13,9,0.229,0.865,0.154,0.347991943,N/A,N/A,N/A,No Recommendation Request
4,13,10,0.229,0.865,0.154,0.758880615,N/A,N/A,N/A,No Recommendation Request
4,13,11,0.229,0.865,0.154,0.126861572,0.305633545,0.37902832,N/A,No Rating Submission
4,13,12,0.229,0.865,0.154,0.627410889,N/A,N/A,N/A,No Recommendation Request
5,9,0,0.22,0.871,0.172,0.999481201,N/A,N/A,N/A,No Recommendation Request
5,9,1,0.22,0.871,0.172,0.16885376,0.643981934,0.430114746,N/A,No Rating Submission
5,9,2,0.22,0.871,0.172,0.557342529,N/A,N/A,N/A,No Recommendation Request
5,9,3,0.22,0.871,0.172,0.70513916,N/A,N/A,N/A,No Recommendation Request
5,9,4,0.22,0.871,0.172,0.775421143,N/A,N/A,N/A,No Recommendation Request
5,9,5,0.22,0.871,0.172,0.749298096,N/A,N/A,N/A,No Recommendation Request
5,9,6,0.22,0.871,0.172,0.772735596,N/A,N/A,N/A,No Recommendation Request
5,9,7,0.22,0.871,0.172,0.558013916,N/A,N/A,N/A,No Recommendation Request
5,9,8,0.22,0.871,0.172,0.63861084,N/A,N/A,N/A,No Recommendation Request
6,19,0,0.22,0.863,0.181,0.882537842,N/A,N/A,N/A,No Recommendation Request
6,19,1,0.22,0.863,0.181,0.572509766,N/A,N/A,N/A,No Recommendation Request
6,19,2,0.22,0.863,0.181,0.504333496,N/A,N/A,N/A,No Recommendation Request
6,19,3,0.22,0.863,0.181,0.258178711,N/A,N/A,N/A,No Recommendation Request
6,19,4,0.22,0.863,0.181,0.242736816,N/A,N/A,N/A,No Recommendation Request
6,19,5,0.22,0.863,0.181,0.498382568,N/A,N/A,N/A,No Recommendation Request
6,19,6,0.22,0.863,0.181,0.990966797,N/A,N/A,N/A,No Recommendation Request
6,19,7,0.22,0.863,0.181,0.114227295,0.005737305,0.835144043,N/A,No Rating Submission
6,19,8,0.22,0.863,0.181,0.958557129,N/A,N/A,N/A,No Recommendation Request
6,19,9,0.22,0.863,0.181,0.698974609,N/A,N/A,N/A,No Recommendation Request
6,19,10,0.22,0.863,0.181,0.841674805,N/A,N/A,N/A,No Recommendation Request
6,19,11,0.22,0.863,0.181,0.202545166,0.482635498,0.772338867,N/A,No Rating Submission
6,19,12,0.22,0.863,0.181,0.435089111,N/A,N/A,N/A,No Recommendation Request
